framenr,roinr,mx,my,count
171,2,8,47,3
171,0,28,49,0
171,7,29,18,6
171,9,47,21,2
171,8,38,19,4
171,6,20,19,7
171,4,12,35,3
171,3,10,39,3
171,5,16,26,4
171,1,1,5,1
455,2,2,10,1
455,0,35,40,0
455,11,35,1,3
455,7,19,27,3
455,9,23,19,2
455,10,28,17,2
455,8,27,5,2
455,6,15,38,2
455,4,9,50,4
455,3,6,34,2
455,5,12,34,4
455,13,41,20,2
455,12,48,21,2
455,1,1,10,1
824,2,8,50,2
824,0,29,46,0
824,7,23,16,4
824,9,28,18,3
824,10,50,22,1
824,8,24,24,5
824,6,18,17,4
824,4,14,30,2
824,3,14,15,3
824,5,17,26,4
824,1,1,50,1
1829,7,6,50,1
1829,4,27,9,2
1829,2,21,13,4
1829,3,22,18,4
1829,0,1,22,0
1829,5,29,18,6
1829,6,35,19,4
1829,1,1,2,1
750,2,5,34,0
750,0,29,45,0
750,7,22,17,1
750,9,40,19,0
750,8,34,18,0
750,6,16,18,2
750,4,10,13,1
750,3,8,50,1
750,5,14,31,1
750,1,2,50,1
334,2,29,1,3
334,0,1,4,0
334,7,50,21,1
334,9,33,1,3
334,8,9,42,3
334,6,38,24,2
334,4,36,12,2
334,3,33,2,2
334,5,37,19,2
334,1,11,36,3
1572,2,1,48,3
1572,0,35,48,0
1572,11,18,37,1
1572,7,11,38,2
1572,9,13,31,2
1572,10,18,29,1
1572,8,12,48,3
1572,6,8,47,4
1572,4,8,12,1
1572,3,4,45,4
1572,5,8,7,1
1572,13,50,19,1
1572,14,50,24,1
1572,15,23,13,1
1572,12,22,28,1
1572,1,1,3,1
1973,2,9,12,3
1973,0,29,45,0
1973,7,23,13,3
1973,9,50,22,1
1973,10,12,15,3
1973,8,40,19,5
1973,6,18,16,4
1973,4,14,31,7
1973,3,9,45,4
1973,5,17,23,4
1973,1,3,11,2
2089,2,9,50,2
2089,0,28,42,0
2089,7,28,18,4
2089,9,47,21,4
2089,10,50,25,4
2089,8,30,1,1
2089,6,27,10,4
2089,4,17,25,2
2089,3,16,19,3
2089,5,22,17,4
2089,1,3,11,3
641,18,26,23,1
641,2,1,14,1
641,0,42,36,0
641,16,24,7,1
641,11,12,50,2
641,21,28,17,1
641,7,10,39,1
641,9,11,1,0
641,10,11,26,1
641,19,28,11,2
641,17,29,3,1
641,8,10,44,3
641,22,35,2,1
641,6,7,10,1
641,4,2,11,1
641,3,1,28,0
641,5,7,50,2
641,20,27,49,0
641,23,50,10,0
641,13,20,17,2
641,14,22,2,1
641,15,23,1,1
641,12,18,23,2
641,1,1,49,2
2252,2,10,39,1
2252,0,31,44,0
2252,11,38,23,2
2252,7,21,22,5
2252,9,27,19,2
2252,10,37,19,2
2252,8,23,18,4
2252,6,19,27,2
2252,4,14,30,2
2252,3,10,50,1
2252,5,17,16,3
2252,13,50,23,1
2252,12,29,2,1
2252,1,6,50,1
1645,2,4,7,1
1645,0,33,41,0
1645,11,27,18,4
1645,7,12,34,2
1645,9,15,31,2
1645,10,21,18,4
1645,8,13,40,3
1645,6,8,45,2
1645,4,8,32,2
1645,3,8,50,4
1645,5,8,37,3
1645,13,50,26,1
1645,12,50,24,1
1645,1,1,10,1
1091,18,36,1,2
1091,2,1,46,0
1091,0,39,44,0
1091,16,27,1,2
1091,11,14,16,1
1091,21,45,1,0
1091,7,5,43,1
1091,9,9,41,2
1091,10,12,34,1
1091,19,37,14,3
1091,17,33,18,3
1091,8,9,18,1
1091,22,50,26,2
1091,6,5,26,0
1091,4,5,38,2
1091,3,2,9,2
1091,5,5,12,1
1091,20,38,1,2
1091,23,33,1,2
1091,13,19,42,1
1091,14,20,17,1
1091,15,20,22,1
1091,12,14,25,0
1091,1,1,2,1
1496,2,8,44,2
1496,0,31,48,0
1496,7,24,14,1
1496,9,48,22,6
1496,10,9,50,2
1496,8,28,9,1
1496,6,18,33,1
1496,4,12,14,1
1496,3,10,38,3
1496,5,17,24,1
1496,1,4,39,3
178,2,8,46,2
178,0,29,49,0
178,11,45,20,2
178,7,25,22,1
178,9,32,11,2
178,10,35,18,3
178,8,28,15,3
178,6,28,6,1
178,4,13,33,3
178,3,10,13,1
178,5,21,26,2
178,13,33,1,2
178,14,39,19,4
178,12,7,50,2
178,1,1,10,1
426,2,1,50,2
426,0,29,45,0
426,11,50,23,2
426,7,28,5,2
426,9,31,18,2
426,10,43,20,2
426,8,27,16,2
426,6,20,26,1
426,4,8,50,4
426,3,1,10,3
426,5,6,11,2
426,1,1,6,3
1710,2,7,46,3
1710,0,29,47,0
1710,7,43,19,3
1710,9,27,11,1
1710,10,31,1,1
1710,8,50,28,1
1710,6,36,18,2
1710,4,11,37,1
1710,3,10,14,1
1710,5,18,20,3
1710,1,7,50,5
1211,2,16,31,1
1211,0,1,47,0
1211,11,45,3,0
1211,7,36,21,3
1211,9,41,19,3
1211,10,41,24,3
1211,8,41,1,0
1211,6,34,16,4
1211,4,26,17,2
1211,3,24,9,2
1211,5,33,1,1
1211,13,50,24,2
1211,14,50,35,1
1211,12,47,18,3
1211,1,9,17,0
313,2,2,49,2
313,0,28,47,0
313,11,38,18,2
313,7,17,29,3
313,9,34,1,1
313,10,37,1,1
313,8,33,1,1
313,6,16,16,1
313,4,8,49,2
313,3,3,50,2
313,5,12,33,3
313,13,50,31,2
313,14,1,4,2
313,12,50,24,3
313,1,1,9,2
503,2,1,3,1
503,0,29,49,0
503,7,37,20,2
503,9,31,1,1
503,8,7,50,1
503,6,29,18,3
503,4,14,32,2
503,3,12,13,2
503,5,16,27,2
503,1,1,1,1
551,2,7,31,0
551,0,32,47,0
551,11,46,25,2
551,7,19,26,2
551,9,33,18,1
551,10,43,19,2
551,8,25,16,1
551,6,18,16,1
551,4,10,44,1
551,3,8,23,0
551,5,13,41,1
551,13,6,50,3
551,14,9,50,3
551,12,50,29,1
551,1,1,10,1
1098,2,25,23,6
1098,0,1,1,0
1098,11,33,1,4
1098,7,48,20,1
1098,9,14,30,4
1098,10,21,17,6
1098,8,7,50,1
1098,6,41,18,2
1098,4,26,11,3
1098,3,29,4,3
1098,5,27,17,4
1098,1,17,24,5
1463,2,22,18,4
1463,0,29,49,0
1463,11,8,45,1
1463,7,35,15,3
1463,9,45,23,7
1463,10,50,23,5
1463,8,38,19,2
1463,6,33,3,1
1463,4,28,4,1
1463,3,22,9,3
1463,5,30,18,3
1463,13,19,27,2
1463,14,33,1,2
1463,12,11,37,1
1463,1,1,10,1
2077,2,9,45,5
2077,0,29,49,0
2077,11,48,21,2
2077,7,34,19,2
2077,9,38,18,2
2077,10,42,22,2
2077,8,34,23,2
2077,6,23,25,3
2077,4,11,13,1
2077,3,10,39,3
2077,5,22,17,1
2077,13,33,1,1
2077,12,7,50,3
2077,1,1,7,1
493,2,11,30,0
493,0,1,49,0
493,11,36,18,1
493,7,30,1,2
493,9,30,17,2
493,10,29,12,2
493,8,30,3,2
493,6,23,25,0
493,4,18,17,3
493,3,14,12,2
493,5,23,13,2
493,12,14,16,2
493,1,10,15,1
1801,2,6,50,3
1801,0,1,5,0
1801,11,50,24,2
1801,7,32,1,3
1801,9,38,14,2
1801,10,38,19,2
1801,8,34,17,2
1801,6,24,6,2
1801,4,12,49,2
1801,3,6,47,1
1801,5,14,31,2
1801,1,5,50,3
1884,2,7,50,3
1884,0,29,47,0
1884,11,33,18,1
1884,7,15,12,1
1884,9,20,17,2
1884,10,28,9,2
1884,8,19,24,1
1884,6,9,43,2
1884,4,9,50,3
1884,3,6,11,1
1884,5,9,31,0
1884,13,37,17,1
1884,14,40,12,1
1884,15,47,22,1
1884,12,34,8,1
1884,1,3,50,3
2117,7,7,50,4
2117,4,22,15,3
2117,2,15,29,5
2117,3,21,25,5
2117,0,1,11,0
2117,5,30,20,2
2117,6,36,19,1
2117,1,9,43,1
2485,18,35,3,1
2485,2,7,17,2
2485,0,46,48,0
2485,16,31,35,0
2485,11,22,34,1
2485,21,28,7,1
2485,7,14,19,3
2485,9,15,7,1
2485,10,17,25,2
2485,19,35,19,2
2485,17,32,23,2
2485,8,13,36,0
2485,22,33,1,2
2485,6,14,11,2
2485,4,9,50,1
2485,3,8,12,2
2485,5,11,25,2
2485,20,15,28,2
2485,13,25,22,0
2485,14,27,26,0
2485,15,28,1,2
2485,12,24,16,0
2485,1,1,23,0
2494,2,11,29,1
2494,0,35,49,0
2494,16,8,48,1
2494,11,37,9,0
2494,7,27,28,0
2494,9,30,3,1
2494,10,33,18,2
2494,8,33,1,3
2494,6,27,1,3
2494,4,23,14,2
2494,3,16,29,1
2494,5,20,27,1
2494,13,45,21,2
2494,14,50,25,3
2494,15,7,12,1
2494,12,38,18,3
2494,1,10,44,1
577,2,15,30,1
577,0,3,47,0
577,7,46,20,2
577,9,20,21,4
577,8,50,26,4
577,6,36,18,1
577,4,27,11,4
577,3,18,17,4
577,5,30,1,2
577,1,1,5,1
2256,2,21,18,6
2256,0,29,45,0
2256,7,1,2,1
2256,9,18,23,5
2256,8,17,17,5
2256,6,43,20,1
2256,4,30,1,1
2256,3,28,10,3
2256,5,32,4,2
2256,1,9,38,1
113,2,12,35,6
113,0,29,47,0
113,11,10,40,5
113,7,31,1,2
113,9,38,19,3
113,10,1,7,3
113,8,32,18,2
113,6,30,1,2
113,4,20,28,2
113,3,18,22,5
113,5,24,18,4
113,13,14,29,5
113,14,50,25,2
113,12,14,16,3
113,1,2,11,3
293,2,9,46,5
293,0,30,46,0
293,7,26,17,1
293,9,37,18,2
293,10,49,21,1
293,8,31,19,3
293,6,15,31,2
293,4,10,35,3
293,3,8,50,5
293,5,10,40,4
293,1,1,8,2
914,2,8,50,2
914,0,33,48,0
914,11,39,18,3
914,7,24,10,1
914,9,31,23,2
914,10,32,18,3
914,8,29,8,1
914,6,16,34,2
914,4,13,15,1
914,3,12,35,2
914,5,16,25,1
914,13,48,20,1
914,12,44,20,2
914,1,1,4,1
859,2,8,47,7
859,0,1,8,0
859,7,24,24,3
859,9,50,23,2
859,10,26,21,4
859,8,31,17,2
859,6,23,7,1
859,4,16,41,4
859,3,10,39,6
859,5,23,14,2
859,1,2,46,6
1538,2,17,29,4
1538,0,1,2,0
1538,7,48,21,4
1538,9,8,46,1
1538,10,32,1,1
1538,8,50,23,4
1538,6,43,19,2
1538,4,22,19,2
1538,3,19,21,1
1538,5,31,19,5
1538,1,12,35,4
1637,2,12,14,2
1637,0,32,48,0
1637,11,49,22,1
1637,7,19,23,2
1637,9,23,8,3
1637,10,28,10,4
1637,8,22,16,3
1637,6,17,28,2
1637,4,16,32,2
1637,3,15,24,3
1637,5,17,18,4
1637,12,32,18,1
1637,1,8,47,1
1209,2,10,16,1
1209,0,30,44,0
1209,7,26,17,2
1209,9,1,7,1
1209,8,31,21,2
1209,6,25,23,2
1209,4,16,30,2
1209,3,11,38,3
1209,5,17,17,2
1209,1,9,44,2
2290,2,6,50,1
2290,0,35,48,0
2290,11,46,4,0
2290,7,24,13,2
2290,9,27,21,2
2290,10,30,18,1
2290,8,24,23,2
2290,6,20,35,0
2290,4,15,16,2
2290,3,11,37,1
2290,5,18,23,1
2290,13,50,17,2
2290,14,28,3,1
2290,12,50,22,2
2290,1,2,10,2
297,2,1,5,5
297,0,23,1,0
297,7,11,35,3
297,9,16,27,1
297,8,14,41,4
297,6,10,39,4
297,4,3,50,3
297,3,4,11,5
297,5,8,48,3
297,1,1,4,4
507,7,46,27,5
507,4,43,20,3
507,2,11,15,1
507,3,19,17,1
507,0,25,38,0
507,5,45,14,3
507,8,50,25,4
507,6,45,50,0
507,1,7,50,1
1925,2,3,11,2
1925,0,29,49,0
1925,11,48,28,2
1925,7,24,23,3
1925,9,32,24,1
1925,10,33,18,1
1925,8,28,20,3
1925,6,20,31,4
1925,4,14,32,2
1925,3,13,27,3
1925,5,18,24,3
1925,13,31,1,1
1925,12,50,25,3
1925,1,1,5,2
1288,18,25,18,3
1288,2,7,50,2
1288,0,45,48,0
1288,16,24,5,1
1288,11,16,12,0
1288,21,38,26,0
1288,7,12,50,2
1288,9,13,41,1
1288,10,16,37,1
1288,19,26,41,0
1288,17,27,11,1
1288,8,13,18,2
1288,22,41,13,0
1288,6,11,37,1
1288,24,46,1,0
1288,4,9,17,0
1288,3,7,43,1
1288,5,10,9,0
1288,20,29,23,0
1288,23,44,27,0
1288,13,19,22,2
1288,14,19,14,1
1288,15,21,30,1
1288,12,17,33,1
1288,1,5,37,1
2292,18,50,1,0
2292,2,9,40,1
2292,0,1,2,0
2292,16,45,20,1
2292,11,34,36,0
2292,7,23,17,2
2292,9,29,10,1
2292,10,33,4,1
2292,19,50,24,3
2292,17,48,40,0
2292,8,28,18,1
2292,6,19,23,2
2292,4,13,31,1
2292,3,13,25,2
2292,5,18,15,1
2292,13,35,23,0
2292,14,41,7,0
2292,15,44,3,0
2292,12,34,49,0
2292,1,8,28,1
471,2,3,30,0
471,0,29,49,0
471,16,31,1,1
471,11,47,21,3
471,7,18,16,2
471,9,36,19,1
471,10,43,20,4
471,8,19,27,1
471,6,12,34,3
471,4,10,40,3
471,3,5,11,1
471,5,12,14,3
471,13,50,32,0
471,14,50,24,4
471,15,9,50,1
471,12,50,18,4
471,1,1,41,0
707,2,1,5,2
707,0,35,47,0
707,16,30,1,1
707,11,21,21,6
707,7,13,33,2
707,9,15,43,1
707,10,17,17,3
707,8,16,26,2
707,6,11,16,2
707,4,9,42,1
707,3,5,39,1
707,5,9,50,1
707,13,27,28,1
707,14,34,11,1
707,15,34,17,1
707,12,25,20,3
707,1,1,1,2
1548,2,8,50,2
1548,0,29,47,0
1548,7,39,12,2
1548,9,28,8,1
1548,8,50,30,2
1548,6,38,18,2
1548,4,11,35,2
1548,3,10,40,2
1548,5,32,18,2
1548,1,1,2,2
1655,18,38,19,1
1655,2,2,11,2
1655,0,34,43,0
1655,16,1,2,1
1655,11,29,18,3
1655,7,14,29,1
1655,9,27,6,2
1655,10,24,14,4
1655,17,32,1,2
1655,8,18,31,2
1655,6,13,50,1
1655,4,9,50,1
1655,3,9,40,2
1655,5,11,36,3
1655,13,31,22,3
1655,14,46,21,1
1655,15,50,24,2
1655,12,30,10,2
1655,1,1,11,2
393,2,11,36,3
393,0,1,4,0
393,11,50,28,3
393,7,29,18,4
393,9,40,17,1
393,10,50,23,3
393,8,35,18,2
393,6,27,13,3
393,4,22,24,3
393,3,12,29,2
393,5,27,5,1
393,1,7,50,1
497,4,28,9,1
497,2,13,34,6
497,3,21,17,2
497,0,1,6,0
497,5,30,1,1
497,1,8,50,1
1177,2,8,29,1
1177,0,1,8,0
1177,7,36,18,2
1177,9,50,29,1
1177,8,41,18,2
1177,6,29,10,1
1177,4,16,27,2
1177,3,8,44,2
1177,5,28,4,1
1177,1,8,50,6
1167,2,17,22,6
1167,0,30,45,0
1167,7,35,19,3
1167,9,14,16,3
1167,10,41,19,3
1167,8,6,50,1
1167,6,26,21,5
1167,4,21,18,7
1167,3,17,29,1
1167,5,25,9,3
1167,1,10,39,1
1759,2,4,11,4
1759,0,29,45,0
1759,11,32,1,2
1759,7,42,19,4
1759,9,22,15,3
1759,10,28,3,2
1759,8,10,39,3
1759,6,31,19,2
1759,4,8,43,4
1759,3,7,50,4
1759,5,26,21,3
1759,12,50,24,2
1759,1,1,4,5
1748,2,8,46,1
1748,0,30,47,0
1748,11,19,17,2
1748,7,31,18,3
1748,9,50,23,2
1748,10,9,14,1
1748,8,47,20,2
1748,6,26,10,3
1748,4,14,31,8
1748,3,10,38,5
1748,5,19,26,6
1748,1,1,2,1
1559,18,45,20,2
1559,2,2,47,1
1559,0,46,49,0
1559,16,33,24,2
1559,11,26,19,1
1559,7,16,16,1
1559,9,19,49,0
1559,10,22,20,1
1559,19,50,25,1
1559,17,39,18,3
1559,8,17,30,1
1559,6,14,48,1
1559,4,6,11,0
1559,3,7,50,1
1559,5,6,33,0
1559,13,32,8,0
1559,14,33,13,2
1559,15,33,18,2
1559,12,30,35,0
1559,1,1,50,1
2184,2,9,49,2
2184,0,29,46,0
2184,7,34,18,2
2184,9,25,23,4
2184,8,50,23,2
2184,6,29,17,3
2184,4,12,35,4
2184,3,9,42,4
2184,5,19,26,5
2184,1,7,11,1
1602,2,9,40,2
1602,0,31,45,0
1602,11,33,1,2
1602,7,47,21,2
1602,9,9,50,2
1602,10,19,27,1
1602,8,1,2,2
1602,6,32,18,3
1602,4,20,18,4
1602,3,9,45,2
1602,5,27,19,4
1602,12,37,19,2
1602,1,1,7,2
274,2,9,50,2
274,0,32,40,0
274,11,8,47,3
274,7,46,20,5
274,9,50,25,3
274,10,1,5,3
274,8,49,23,4
274,6,28,5,2
274,4,13,15,5
274,3,11,39,3
274,5,20,19,4
274,13,26,21,2
274,14,41,20,3
274,12,16,17,4
274,1,6,11,4
1073,2,18,23,2
1073,0,1,2,0
1073,11,6,50,1
1073,7,43,33,0
1073,9,49,22,3
1073,10,50,29,3
1073,8,45,25,3
1073,6,43,19,3
1073,4,22,7,0
1073,3,17,47,0
1073,5,24,16,2
1073,12,31,1,1
1073,1,1,47,0
1802,2,7,11,2
1802,0,29,45,0
1802,16,14,32,2
1802,11,31,3,2
1802,7,14,18,3
1802,9,19,17,2
1802,10,30,1,2
1802,17,34,18,2
1802,8,17,23,2
1802,6,10,39,3
1802,4,8,50,3
1802,3,9,32,2
1802,5,11,14,3
1802,13,43,18,1
1802,14,50,23,1
1802,15,7,50,3
1802,12,39,18,2
1802,1,6,41,2
1118,2,8,50,4
1118,0,33,44,0
1118,7,28,8,1
1118,9,50,24,5
1118,8,30,18,4
1118,6,25,23,5
1118,4,15,16,2
1118,3,11,37,3
1118,5,21,18,3
1118,1,9,43,4
2187,2,11,15,2
2187,0,29,49,0
2187,16,9,43,2
2187,11,25,23,4
2187,7,16,17,3
2187,9,21,20,4
2187,10,23,17,3
2187,17,39,19,3
2187,8,18,26,5
2187,6,16,31,5
2187,4,12,35,3
2187,3,10,24,2
2187,5,14,23,3
2187,13,35,25,4
2187,14,35,18,4
2187,15,1,3,2
2187,12,29,17,3
2187,1,1,8,2
2269,2,11,38,2
2269,0,31,49,0
2269,11,50,30,2
2269,7,25,23,5
2269,9,39,19,3
2269,10,50,27,2
2269,8,33,18,2
2269,6,18,32,3
2269,4,18,17,6
2269,3,13,33,4
2269,5,18,25,6
2269,13,33,1,1
2269,12,11,14,3
2269,1,7,12,2
1624,7,50,25,1
1624,4,28,5,2
1624,2,12,34,4
1624,3,24,23,3
1624,0,31,42,0
1624,5,31,18,3
1624,6,2,11,1
1624,1,6,50,3
28,2,8,46,2
28,0,31,48,0
28,11,48,17,3
28,7,20,25,3
28,9,29,4,4
28,10,42,19,3
28,8,26,17,3
28,6,19,17,3
28,4,13,34,3
28,3,8,50,3
28,5,17,29,4
28,13,15,16,2
28,14,50,25,3
28,12,48,21,3
28,1,1,9,1
1922,2,14,32,2
1922,0,2,1,0
1922,7,29,17,3
1922,9,33,17,1
1922,10,50,26,1
1922,8,30,1,1
1922,6,28,7,1
1922,4,17,29,4
1922,3,20,17,3
1922,5,23,24,4
1922,1,10,33,1
1115,2,9,13,1
1115,0,28,49,0
1115,7,33,19,2
1115,9,50,25,2
1115,10,1,11,1
1115,8,39,18,2
1115,6,29,2,1
1115,4,15,30,2
1115,3,10,38,3
1115,5,18,23,2
1115,1,1,3,1
2093,2,11,14,2
2093,0,29,48,0
2093,11,10,39,3
2093,7,24,14,4
2093,9,31,18,4
2093,10,35,18,2
2093,8,26,20,4
2093,6,21,19,5
2093,4,17,27,3
2093,3,12,34,4
2093,5,19,15,4
2093,13,28,3,1
2093,14,32,1,2
2093,12,15,16,3
2093,1,8,50,3
2156,2,6,11,1
2156,0,1,45,0
2156,11,39,18,2
2156,7,20,8,0
2156,9,31,19,1
2156,10,35,18,2
2156,8,19,23,3
2156,6,19,17,3
2156,4,11,9,1
2156,3,8,19,0
2156,5,16,11,2
2156,12,47,21,1
2156,1,3,1,0
634,7,6,50,1
634,4,20,25,3
634,2,9,41,1
634,3,13,15,1
634,0,29,43,0
634,5,29,18,1
634,8,33,1,1
634,6,50,25,1
634,1,1,4,1
1255,2,10,39,2
1255,0,1,4,0
1255,7,39,19,1
1255,9,31,1,1
1255,8,39,24,1
1255,6,26,21,2
1255,4,15,38,2
1255,3,15,29,4
1255,5,21,19,2
1255,1,8,48,2
1782,2,7,48,3
1782,0,35,49,0
1782,11,50,30,2
1782,7,17,28,2
1782,9,32,18,2
1782,10,50,25,2
1782,8,18,24,2
1782,6,15,42,3
1782,4,9,12,1
1782,3,9,42,3
1782,5,13,33,3
1782,13,25,18,2
1782,14,32,1,1
1782,12,9,50,3
1782,1,1,8,3
1252,2,9,43,4
1252,0,2,2,0
1252,11,25,23,4
1252,7,21,18,3
1252,9,46,20,1
1252,10,9,50,2
1252,8,28,18,4
1252,6,16,27,3
1252,4,14,39,5
1252,3,14,31,5
1252,5,16,20,3
1252,1,10,38,5
1522,7,46,21,3
1522,4,11,37,4
1522,2,6,11,1
1522,3,9,43,5
1522,0,24,1,0
1522,5,16,38,4
1522,8,50,24,3
1522,6,44,16,2
1522,1,1,43,1
2121,2,15,22,3
2121,0,4,1,0
2121,11,35,3,2
2121,7,23,27,1
2121,9,31,1,1
2121,10,33,7,1
2121,8,27,19,4
2121,6,26,10,3
2121,4,19,23,4
2121,3,15,27,1
2121,5,21,17,4
2121,13,46,25,5
2121,14,50,24,3
2121,15,9,45,1
2121,12,44,20,5
2121,1,6,50,2
2403,2,8,43,2
2403,0,28,49,0
2403,16,29,2,1
2403,11,37,19,3
2403,7,25,10,1
2403,9,30,13,4
2403,10,31,18,4
2403,8,30,8,2
2403,6,24,17,3
2403,4,16,29,4
2403,3,12,35,2
2403,5,20,26,3
2403,13,43,19,4
2403,14,47,28,3
2403,15,48,22,3
2403,12,37,26,2
2403,1,1,2,1
97,2,7,11,1
97,0,35,48,0
97,11,25,23,6
97,7,30,4,2
97,9,29,26,3
97,10,50,27,1
97,8,25,18,4
97,6,22,25,6
97,4,14,50,2
97,3,9,45,2
97,5,18,28,5
97,1,3,43,2
1449,7,36,19,2
1449,4,23,13,5
1449,2,18,25,3
1449,3,16,29,3
1449,0,1,6,0
1449,5,25,23,3
1449,8,50,27,2
1449,6,28,19,3
1449,1,13,32,3
1858,7,32,1,1
1858,4,14,31,3
1858,2,8,34,4
1858,3,9,41,2
1858,0,36,45,0
1858,5,22,25,1
1858,8,43,20,1
1858,6,23,30,1
1858,1,4,10,1
1430,2,8,48,3
1430,0,30,49,0
1430,7,50,18,2
1430,9,17,24,2
1430,10,19,27,2
1430,8,50,24,2
1430,6,33,18,1
1430,4,28,10,1
1430,3,9,42,3
1430,5,30,3,1
1430,1,1,4,2
2426,2,9,42,2
2426,0,30,43,0
2426,7,30,18,4
2426,9,42,19,1
2426,8,36,19,3
2426,6,26,11,3
2426,4,11,37,2
2426,3,9,50,1
2426,5,18,25,1
2426,1,8,12,3
377,2,1,42,1
377,0,35,47,0
377,16,50,27,3
377,11,24,17,1
377,7,14,44,2
377,9,17,1,0
377,10,17,35,2
377,17,13,32,2
377,8,14,50,3
377,6,11,36,2
377,4,7,49,3
377,3,7,50,4
377,5,5,15,2
377,13,46,23,3
377,14,47,16,3
377,15,50,28,3
377,12,43,19,3
377,1,2,11,2
584,7,32,1,1
584,4,18,25,2
584,2,10,41,5
584,3,9,50,5
584,0,1,6,0
584,5,20,17,2
584,6,45,21,3
584,1,3,38,2
1245,18,37,19,3
1245,2,6,50,2
1245,0,40,44,0
1245,16,34,3,2
1245,11,20,49,0
1245,7,13,50,2
1245,9,16,17,0
1245,10,17,26,2
1245,19,43,23,2
1245,17,36,12,3
1245,8,14,29,3
1245,6,10,31,3
1245,4,11,35,2
1245,3,8,1,0
1245,5,9,48,1
1245,20,46,9,0
1245,13,24,14,0
1245,14,26,1,2
1245,15,30,1,2
1245,12,28,8,2
1245,1,1,1,1
1715,18,32,1,1
1715,2,8,18,1
1715,0,43,49,0
1715,16,28,1,1
1715,11,18,33,2
1715,21,32,29,0
1715,7,15,39,1
1715,9,18,21,1
1715,25,39,18,1
1715,10,17,28,2
1715,26,45,27,1
1715,19,30,23,1
1715,17,28,29,0
1715,8,16,50,0
1715,22,34,14,3
1715,6,13,19,1
1715,24,38,1,1
1715,4,13,14,1
1715,3,9,49,1
1715,28,50,1,0
1715,5,12,34,2
1715,20,31,17,3
1715,23,36,3,0
1715,13,21,42,0
1715,14,28,8,1
1715,27,50,21,1
1715,15,24,15,2
1715,12,17,47,0
1715,1,7,32,1
1757,2,1,11,4
1757,0,20,1,0
1757,7,42,19,2
1757,9,6,50,1
1757,10,10,39,1
1757,8,50,23,1
1757,6,26,20,2
1757,4,17,24,3
1757,3,16,29,3
1757,5,22,21,4
1757,1,1,5,5
1382,2,11,38,2
1382,0,1,14,0
1382,11,29,3,1
1382,7,25,1,1
1382,9,28,10,2
1382,10,27,24,1
1382,8,25,19,3
1382,6,21,29,2
1382,4,18,32,2
1382,3,13,32,2
1382,5,20,23,3
1382,13,50,23,2
1382,14,50,25,2
1382,12,29,1,1
1382,1,7,49,1
1751,2,1,10,2
1751,0,29,45,0
1751,11,24,12,1
1751,7,31,2,3
1751,9,43,19,1
1751,10,50,23,3
1751,8,33,18,1
1751,6,32,1,3
1751,4,10,37,2
1751,3,9,50,4
1751,5,14,30,1
1751,1,1,2,1
2344,2,4,47,2
2344,0,29,46,0
2344,11,50,25,4
2344,7,39,19,5
2344,9,46,21,5
2344,10,48,29,2
2344,8,39,23,5
2344,6,33,18,4
2344,4,12,32,1
2344,3,9,42,2
2344,5,26,22,2
2344,1,4,11,2
1560,2,8,50,1
1560,0,1,3,0
1560,11,50,23,1
1560,7,20,25,2
1560,9,38,18,1
1560,10,39,31,0
1560,8,26,21,1
1560,6,16,29,2
1560,4,14,25,2
1560,3,6,46,1
1560,5,16,16,1
1560,12,50,3,0
1560,1,1,50,1
39,2,10,41,3
39,0,2,3,0
39,16,32,1,1
39,11,25,26,0
39,7,17,25,1
39,9,23,21,2
39,10,23,13,2
39,8,20,17,2
39,6,16,21,2
39,4,15,49,2
39,3,13,23,2
39,5,16,17,2
39,13,37,19,1
39,14,43,19,1
39,15,45,25,1
39,12,28,4,0
39,1,1,49,1
1740,2,11,37,4
1740,0,28,48,0
1740,11,17,25,4
1740,7,38,19,3
1740,9,50,22,3
1740,10,8,49,2
1740,8,44,20,4
1740,6,25,21,2
1740,4,14,32,6
1740,3,13,15,2
1740,5,19,19,4
1740,13,50,25,3
1740,12,33,1,1
1740,1,6,37,3
2010,2,10,47,3
2010,0,2,3,0
2010,11,26,11,2
2010,7,18,28,1
2010,9,30,7,4
2010,10,44,20,1
2010,8,29,2,3
2010,6,18,17,2
2010,4,11,36,1
2010,3,11,27,1
2010,5,17,36,1
2010,1,1,44,2
1437,2,5,11,3
1437,0,29,48,0
1437,11,1,4,3
1437,7,20,21,5
1437,9,44,20,2
1437,10,50,23,3
1437,8,28,8,3
1437,6,16,30,5
1437,4,9,50,2
1437,3,9,42,4
1437,5,10,13,2
1437,12,11,36,5
1437,1,1,9,3
2021,2,8,43,4
2021,0,32,49,0
2021,11,10,38,3
2021,7,27,18,6
2021,9,50,22,2
2021,10,50,28,2
2021,8,36,19,5
2021,6,25,22,6
2021,4,19,27,3
2021,3,8,48,3
2021,5,23,28,3
2021,12,32,1,2
2021,1,1,10,4
2199,2,5,16,4
2199,0,33,44,0
2199,11,50,24,5
2199,7,25,23,1
2199,9,39,18,3
2199,10,44,20,3
2199,8,26,13,1
2199,6,13,47,2
2199,4,8,46,2
2199,3,8,50,3
2199,5,10,14,4
2199,12,50,31,3
2199,1,4,11,3
2236,2,3,50,2
2236,0,30,41,0
2236,11,49,16,2
2236,7,33,2,0
2236,9,38,1,2
2236,10,41,19,2
